timestamp,market_slug,question,strategy,side,entry_price,size,confidence,reason,status,payout,end_date,market_type,strategy_version,fees,fill_price
2026-04-11T00:04:36.269311+00:00,sol-updown-5m-1775865600,"Solana Up or Down - April 10, 8:00PM-8:05PM ET",updown,NO,0.7350,2.13,0.23,"SOL implied DOWN at 26%, edge -5.5%, 37s to close",won,2.90,2026-04-11T00:05:00+00:00,5m,0,0.0000,
2026-04-11T00:09:31.497578+00:00,sol-updown-5m-1775865900,"Solana Up or Down - April 10, 8:05PM-8:10PM ET",updown,NO,0.8150,2.39,0.28,"SOL implied DOWN at 18%, edge -6.7%, 34s to close",won,2.94,2026-04-11T00:10:00+00:00,5m,0,0.0000,
2026-04-11T00:09:31.501017+00:00,hype-updown-5m-1775865900,"Hyperliquid Up or Down - April 10, 8:05PM-8:10PM ET",updown,NO,0.7250,2.10,0.25,"HYPE implied DOWN at 28%, edge -5.4%, 29s to close",lost,0.00,2026-04-11T00:10:00+00:00,5m,0,0.0000,
2026-04-11T00:14:42.794853+00:00,doge-updown-5m-1775866200,"Dogecoin Up or Down - April 10, 8:10PM-8:15PM ET",updown,YES,0.7550,2.64,0.38,"DOGE implied UP at 76%, edge +5.8%, 22s to close",won,3.50,2026-04-11T00:15:00+00:00,5m,0,0.0000,
2026-04-11T00:14:42.798514+00:00,eth-updown-5m-1775866200,"Ethereum Up or Down - April 10, 8:10PM-8:15PM ET",updown,YES,0.8350,2.14,0.29,"ETH implied UP at 84%, edge +7.0%, 30s to close",won,2.57,2026-04-11T00:15:00+00:00,5m,0,0.0000,
2026-04-11T00:19:38.451366+00:00,sol-updown-5m-1775866500,"Solana Up or Down - April 10, 8:15PM-8:20PM ET",updown,YES,0.8550,2.43,0.31,"SOL implied UP at 86%, edge +7.3%, 30s to close",won,2.84,2026-04-11T00:20:00+00:00,5m,0,0.0000,
2026-04-11T00:19:38.452275+00:00,hype-updown-5m-1775866500,"Hyperliquid Up or Down - April 10, 8:15PM-8:20PM ET",updown,YES,0.7250,2.19,0.29,"HYPE implied UP at 72%, edge +5.4%, 26s to close",lost,0.00,2026-04-11T00:20:00+00:00,5m,0,0.0000,
2026-04-11T00:24:35.393379+00:00,hype-updown-5m-1775866800,"Hyperliquid Up or Down - April 10, 8:20PM-8:25PM ET",updown,YES,0.8300,2.29,0.29,"HYPE implied UP at 83%, edge +7.0%, 33s to close",won,2.76,2026-04-11T00:25:00+00:00,5m,0,0.0000,
2026-04-11T00:24:35.396854+00:00,bnb-updown-5m-1775866800,"BNB Up or Down - April 10, 8:20PM-8:25PM ET",updown,YES,0.7050,1.86,0.21,"BNB implied UP at 70%, edge +5.1%, 43s to close",lost,0.00,2026-04-11T00:25:00+00:00,5m,0,0.0000,
2026-04-11T00:29:25.660121+00:00,doge-updown-5m-1775867100,"Dogecoin Up or Down - April 10, 8:25PM-8:30PM ET",updown,NO,0.7500,2.02,0.24,"DOGE implied DOWN at 25%, edge -5.8%, 44s to close",lost,0.00,2026-04-11T00:30:00+00:00,5m,0,0.0000,
2026-04-11T00:29:43.644894+00:00,sol-updown-5m-1775867100,"Solana Up or Down - April 10, 8:25PM-8:30PM ET",updown,NO,0.8450,2.14,0.32,"SOL implied DOWN at 16%, edge -7.2%, 29s to close",won,2.54,2026-04-11T00:30:00+00:00,5m,0,0.0000,
2026-04-11T00:34:28.958666+00:00,btc-updown-5m-1775867400,"Bitcoin Up or Down - April 10, 8:30PM-8:35PM ET",updown,NO,0.8750,2.18,0.31,"BTC implied DOWN at 12%, edge -7.5%, 36s to close",won,2.49,2026-04-11T00:35:00+00:00,5m,0,0.0000,
2026-04-11T00:34:28.962337+00:00,hype-updown-5m-1775867400,"Hyperliquid Up or Down - April 10, 8:30PM-8:35PM ET",updown,YES,0.8000,1.89,0.27,"HYPE implied UP at 80%, edge +6.5%, 31s to close",won,2.36,2026-04-11T00:35:00+00:00,5m,0,0.0000,
2026-04-11T00:34:28.962697+00:00,sol-updown-5m-1775867400,"Solana Up or Down - April 10, 8:30PM-8:35PM ET",updown,NO,0.7600,1.69,0.25,"SOL implied DOWN at 24%, edge -5.9%, 40s to close",won,2.22,2026-04-11T00:35:00+00:00,5m,0,0.0000,
2026-04-11T00:39:41.444866+00:00,sol-updown-5m-1775867700,"Solana Up or Down - April 10, 8:35PM-8:40PM ET",updown,YES,0.8150,1.85,0.28,"SOL implied UP at 82%, edge +6.7%, 36s to close",won,2.26,2026-04-11T00:40:00+00:00,5m,0,0.0000,
2026-04-11T00:39:41.445546+00:00,xrp-updown-5m-1775867700,"XRP Up or Down - April 10, 8:35PM-8:40PM ET",updown,YES,0.7450,1.72,0.28,"XRP implied UP at 74%, edge +5.7%, 27s to close",won,2.30,2026-04-11T00:40:00+00:00,5m,0,0.0000,
2026-04-11T00:39:41.445886+00:00,bnb-updown-5m-1775867700,"BNB Up or Down - April 10, 8:35PM-8:40PM ET",updown,YES,0.7950,1.57,0.27,"BNB implied UP at 80%, edge +6.4%, 43s to close",won,1.97,2026-04-11T00:40:00+00:00,5m,0,0.0000,
2026-04-11T00:39:41.446108+00:00,eth-updown-5m-1775867700,"Ethereum Up or Down - April 10, 8:35PM-8:40PM ET",updown,YES,0.7750,1.43,0.26,"ETH implied UP at 78%, edge +6.1%, 31s to close",won,1.85,2026-04-11T00:40:00+00:00,5m,0,0.0000,
2026-04-11T00:44:24.136854+00:00,hype-updown-5m-1775868000,"Hyperliquid Up or Down - April 10, 8:40PM-8:45PM ET",updown,NO,0.8150,2.01,0.28,"HYPE implied DOWN at 18%, edge -6.7%, 36s to close",won,2.46,2026-04-11T00:45:00+00:00,5m,0,0.0000,
2026-04-11T00:49:29.967624+00:00,btc-updown-5m-1775868300,"Bitcoin Up or Down - April 10, 8:45PM-8:50PM ET",updown,NO,0.8650,2.44,0.31,"BTC implied DOWN at 14%, edge -7.5%, 39s to close",won,2.82,2026-04-11T00:50:00+00:00,5m,0,0.0000,
2026-04-11T00:49:29.968239+00:00,sol-updown-5m-1775868300,"Solana Up or Down - April 10, 8:45PM-8:50PM ET",updown,NO,0.7700,2.05,0.25,"SOL implied DOWN at 23%, edge -6.0%, 34s to close",lost,0.00,2026-04-11T00:50:00+00:00,5m,0,0.0000,
2026-04-11T00:54:37.105586+00:00,bnb-updown-5m-1775868600,"BNB Up or Down - April 10, 8:50PM-8:55PM ET",updown,NO,0.8650,2.29,0.31,"BNB implied DOWN at 14%, edge -7.5%, 31s to close",won,2.65,2026-04-11T00:55:00+00:00,5m,0,0.0000,
2026-04-11T00:54:37.111181+00:00,xrp-updown-5m-1775868600,"XRP Up or Down - April 10, 8:50PM-8:55PM ET",updown,NO,0.7350,2.01,0.28,"XRP implied DOWN at 26%, edge -5.5%, 27s to close",won,2.73,2026-04-11T00:55:00+00:00,5m,0,0.0000,
2026-04-11T00:54:37.111446+00:00,hype-updown-5m-1775868600,"Hyperliquid Up or Down - April 10, 8:50PM-8:55PM ET",updown,NO,0.7600,1.78,0.25,"HYPE implied DOWN at 24%, edge -5.9%, 40s to close",won,2.34,2026-04-11T00:55:00+00:00,5m,0,0.0000,
2026-04-11T01:04:27.421013+00:00,xrp-updown-5m-1775869200,"XRP Up or Down - April 10, 9:00PM-9:05PM ET",updown,NO,0.7400,2.30,0.23,"XRP implied DOWN at 26%, edge -5.6%, 37s to close",won,3.11,2026-04-11T01:05:00+00:00,5m,0,0.0000,
2026-04-11T01:09:26.555740+00:00,xrp-updown-5m-1775869500,"XRP Up or Down - April 10, 9:05PM-9:10PM ET",updown,YES,0.8550,2.65,0.31,"XRP implied UP at 86%, edge +7.3%, 38s to close",won,3.10,2026-04-11T01:10:00+00:00,5m,0,0.0000,
2026-04-11T01:09:26.559101+00:00,btc-updown-5m-1775869500,"Bitcoin Up or Down - April 10, 9:05PM-9:10PM ET",updown,YES,0.8450,2.43,0.30,"BTC implied UP at 84%, edge +7.2%, 42s to close",won,2.88,2026-04-11T01:10:00+00:00,5m,0,0.0000,
2026-04-11T01:09:26.559286+00:00,hype-updown-5m-1775869500,"Hyperliquid Up or Down - April 10, 9:05PM-9:10PM ET",updown,YES,0.7800,2.12,0.26,"HYPE implied UP at 78%, edge +6.2%, 34s to close",won,2.71,2026-04-11T01:10:00+00:00,5m,0,0.0000,
2026-04-11T01:14:27.209821+00:00,xrp-updown-5m-1775869800,"XRP Up or Down - April 10, 9:10PM-9:15PM ET",updown,NO,0.8350,2.48,0.29,"XRP implied DOWN at 16%, edge -7.0%, 37s to close",won,2.97,2026-04-11T01:15:00+00:00,5m,0,0.0000,
2026-04-11T01:24:34.090806+00:00,bnb-updown-5m-1775870400,"BNB Up or Down - April 10, 9:20PM-9:25PM ET",updown,NO,0.7850,2.60,0.26,"BNB implied DOWN at 22%, edge -6.3%, 43s to close",won,3.31,2026-04-11T01:25:00+00:00,5m,0,0.0000,
2026-04-11T01:24:34.093997+00:00,sol-updown-5m-1775870400,"Solana Up or Down - April 10, 9:20PM-9:25PM ET",updown,NO,0.7550,2.35,0.24,"SOL implied DOWN at 24%, edge -5.8%, 30s to close",won,3.11,2026-04-11T01:25:00+00:00,5m,0,0.0000,
2026-04-11T01:29:22.305589+00:00,xrp-updown-5m-1775870700,"XRP Up or Down - April 10, 9:25PM-9:30PM ET",updown,YES,0.7650,2.22,0.25,"XRP implied UP at 76%, edge +6.0%, 42s to close",won,2.90,2026-04-11T01:30:00+00:00,5m,0,0.0000,
2026-04-11T01:34:37.196410+00:00,bnb-updown-5m-1775871000,"BNB Up or Down - April 10, 9:30PM-9:35PM ET",updown,YES,0.8550,2.74,0.31,"BNB implied UP at 86%, edge +7.3%, 31s to close",won,3.20,2026-04-11T01:35:00+00:00,5m,0,0.0000,
2026-04-11T01:34:37.197110+00:00,hype-updown-5m-1775871000,"Hyperliquid Up or Down - April 10, 9:30PM-9:35PM ET",updown,YES,0.8500,2.53,0.30,"HYPE implied UP at 85%, edge +7.3%, 31s to close",won,2.97,2026-04-11T01:35:00+00:00,5m,0,0.0000,
2026-04-11T01:34:37.197513+00:00,xrp-updown-5m-1775871000,"XRP Up or Down - April 10, 9:30PM-9:35PM ET",updown,YES,0.7950,2.22,0.27,"XRP implied UP at 80%, edge +6.4%, 36s to close",won,2.79,2026-04-11T01:35:00+00:00,5m,0,0.0000,
2026-04-11T01:39:35.904204+00:00,bnb-updown-5m-1775871300,"BNB Up or Down - April 10, 9:35PM-9:40PM ET",updown,NO,0.8250,2.74,0.29,"BNB implied DOWN at 18%, edge -6.9%, 33s to close",won,3.32,2026-04-11T01:40:00+00:00,5m,0,0.0000,
2026-04-11T01:54:36.097198+00:00,sol-updown-5m-1775872200,"Solana Up or Down - April 10, 9:50PM-9:55PM ET",updown,YES,0.7750,2.85,0.26,"SOL implied UP at 78%, edge +6.1%, 41s to close",won,3.68,2026-04-11T01:55:00+00:00,5m,0,0.0000,
2026-04-11T01:54:36.100383+00:00,bnb-updown-5m-1775872200,"BNB Up or Down - April 10, 9:50PM-9:55PM ET",updown,YES,0.7700,2.65,0.25,"BNB implied UP at 77%, edge +6.0%, 37s to close",won,3.44,2026-04-11T01:55:00+00:00,5m,0,0.0000,
2026-04-11T01:54:36.100530+00:00,xrp-updown-5m-1775872200,"XRP Up or Down - April 10, 9:50PM-9:55PM ET",updown,YES,0.7400,2.39,0.23,"XRP implied UP at 74%, edge +5.6%, 32s to close",won,3.24,2026-04-11T01:55:00+00:00,5m,0,0.0000,
2026-04-11T01:59:21.383215+00:00,hype-updown-5m-1775872500,"Hyperliquid Up or Down - April 10, 9:55PM-10:00PM ET",updown,YES,0.7850,2.35,0.26,"HYPE implied UP at 78%, edge +6.3%, 39s to close",won,3.00,2026-04-11T02:00:00+00:00,5m,0,0.0000,
2026-04-11T02:09:34.599304+00:00,bnb-updown-5m-1775873100,"BNB Up or Down - April 10, 10:05PM-10:10PM ET",updown,NO,0.7950,3.12,0.27,"BNB implied DOWN at 20%, edge -6.4%, 35s to close",won,3.93,2026-04-11T02:10:00+00:00,5m,0,0.0000,
2026-04-11T02:14:45.590977+00:00,sol-updown-5m-1775873400,"Solana Up or Down - April 10, 10:10PM-10:15PM ET",updown,YES,0.7100,3.45,0.38,"SOL implied UP at 71%, edge +5.1%, 19s to close",won,4.85,2026-04-11T02:15:00+00:00,5m,0,0.0000,
2026-04-11T02:14:45.594441+00:00,doge-updown-5m-1775873400,"Dogecoin Up or Down - April 10, 10:10PM-10:15PM ET",updown,YES,0.8500,2.83,0.30,"DOGE implied UP at 85%, edge +7.3%, 41s to close",won,3.33,2026-04-11T02:15:00+00:00,5m,0,0.0000,
2026-04-11T02:14:45.594624+00:00,bnb-updown-5m-1775873400,"BNB Up or Down - April 10, 10:10PM-10:15PM ET",updown,YES,0.7950,2.49,0.27,"BNB implied UP at 80%, edge +6.4%, 35s to close",won,3.13,2026-04-11T02:15:00+00:00,5m,0,0.0000,
2026-04-11T02:14:45.594740+00:00,xrp-updown-5m-1775873400,"XRP Up or Down - April 10, 10:10PM-10:15PM ET",updown,YES,0.7650,2.25,0.25,"XRP implied UP at 76%, edge +6.0%, 31s to close",won,2.94,2026-04-11T02:15:00+00:00,5m,0,0.0000,
2026-04-11T02:24:39.304804+00:00,sol-updown-5m-1775874000,"Solana Up or Down - April 10, 10:20PM-10:25PM ET",updown,NO,0.8350,4.10,0.39,"SOL implied DOWN at 16%, edge -7.0%, 25s to close",won,4.91,2026-04-11T02:25:00+00:00,5m,0,0.0000,
2026-04-11T02:24:39.305223+00:00,bnb-updown-5m-1775874000,"BNB Up or Down - April 10, 10:20PM-10:25PM ET",updown,YES,0.7700,3.04,0.25,"BNB implied UP at 77%, edge +6.0%, 42s to close",lost,0.00,2026-04-11T02:25:00+00:00,5m,0,0.0000,
2026-04-11T02:29:27.929093+00:00,xrp-updown-5m-1775874300,"XRP Up or Down - April 10, 10:25PM-10:30PM ET",updown,YES,0.7200,2.69,0.22,"XRP implied UP at 72%, edge +5.3%, 37s to close",won,3.73,2026-04-11T02:30:00+00:00,5m,0,0.0000,
2026-04-11T02:34:36.886375+00:00,doge-updown-5m-1775874600,"Dogecoin Up or Down - April 10, 10:30PM-10:35PM ET",updown,YES,0.8450,3.22,0.30,"DOGE implied UP at 84%, edge +7.2%, 36s to close",won,3.81,2026-04-11T02:35:00+00:00,5m,0,0.0000,
2026-04-11T02:34:36.889454+00:00,xrp-updown-5m-1775874600,"XRP Up or Down - April 10, 10:30PM-10:35PM ET",updown,YES,0.7700,2.77,0.25,"XRP implied UP at 77%, edge +6.0%, 41s to close",won,3.60,2026-04-11T02:35:00+00:00,5m,0,0.0000,
2026-04-11T02:34:36.889609+00:00,bnb-updown-5m-1775874600,"BNB Up or Down - April 10, 10:30PM-10:35PM ET",updown,YES,0.7650,2.57,0.25,"BNB implied UP at 76%, edge +6.0%, 32s to close",won,3.37,2026-04-11T02:35:00+00:00,5m,0,0.0000,
2026-04-11T02:39:39.206938+00:00,doge-updown-5m-1775874900,"Dogecoin Up or Down - April 10, 10:35PM-10:40PM ET",updown,NO,0.7850,2.95,0.26,"DOGE implied DOWN at 22%, edge -6.3%, 34s to close",won,3.76,2026-04-11T02:40:00+00:00,5m,0,0.0000,
2026-04-11T02:39:39.209822+00:00,sol-updown-5m-1775874900,"Solana Up or Down - April 10, 10:35PM-10:40PM ET",updown,NO,0.7650,2.69,0.25,"SOL implied DOWN at 24%, edge -6.0%, 43s to close",won,3.52,2026-04-11T02:40:00+00:00,5m,0,0.0000,
2026-04-11T02:39:39.210642+00:00,xrp-updown-5m-1775874900,"XRP Up or Down - April 10, 10:35PM-10:40PM ET",updown,NO,0.7600,2.50,0.25,"XRP implied DOWN at 24%, edge -5.9%, 38s to close",won,3.29,2026-04-11T02:40:00+00:00,5m,0,0.0000,
2026-04-11T02:44:32.584260+00:00,xrp-updown-5m-1775875200,"XRP Up or Down - April 10, 10:40PM-10:45PM ET",updown,NO,0.8650,3.36,0.31,"XRP implied DOWN at 14%, edge -7.5%, 36s to close",won,3.89,2026-04-11T02:45:00+00:00,5m,0,0.0000,
2026-04-11T02:44:32.587110+00:00,doge-updown-5m-1775875200,"Dogecoin Up or Down - April 10, 10:40PM-10:45PM ET",updown,NO,0.7850,2.88,0.26,"DOGE implied DOWN at 22%, edge -6.3%, 32s to close",won,3.67,2026-04-11T02:45:00+00:00,5m,0,0.0000,
2026-04-11T02:49:27.827839+00:00,doge-updown-5m-1775875500,"Dogecoin Up or Down - April 10, 10:45PM-10:50PM ET",updown,NO,0.8700,3.46,0.31,"DOGE implied DOWN at 13%, edge -7.5%, 41s to close",won,3.97,2026-04-11T02:50:00+00:00,5m,0,0.0000,
2026-04-11T02:49:38.515537+00:00,hype-updown-5m-1775875500,"Hyperliquid Up or Down - April 10, 10:45PM-10:50PM ET",updown,NO,0.8300,3.89,0.45,"HYPE implied DOWN at 17%, edge -6.9%, 22s to close",won,4.69,2026-04-11T02:50:00+00:00,5m,0,0.0000,
2026-04-11T02:54:39.883435+00:00,sol-updown-5m-1775875800,"Solana Up or Down - April 10, 10:50PM-10:55PM ET",updown,YES,0.7550,3.57,0.33,"SOL implied UP at 76%, edge +5.8%, 24s to close",won,4.73,2026-04-11T02:55:00+00:00,5m,0,0.0000,
2026-04-11T02:59:44.325300+00:00,xrp-updown-5m-1775876100,"XRP Up or Down - April 10, 10:55PM-11:00PM ET",updown,YES,0.8550,3.79,0.31,"XRP implied UP at 86%, edge +7.3%, 36s to close",won,4.43,2026-04-11T03:00:00+00:00,5m,0,0.0000,
2026-04-11T02:59:44.325768+00:00,hype-updown-5m-1775876100,"Hyperliquid Up or Down - April 10, 10:55PM-11:00PM ET",updown,YES,0.8050,3.34,0.27,"HYPE implied UP at 80%, edge +6.6%, 41s to close",won,4.15,2026-04-11T03:00:00+00:00,5m,0,0.0000,
2026-04-11T02:59:49.067552+00:00,bnb-updown-5m-1775876100,"BNB Up or Down - April 10, 10:55PM-11:00PM ET",updown,YES,0.8700,4.93,0.63,"BNB implied UP at 87%, edge +7.6%, 15s to close",won,5.67,2026-04-11T03:00:00+00:00,5m,0,0.0000,
2026-04-11T03:04:35.183746+00:00,bnb-updown-5m-1775876400,"BNB Up or Down - April 10, 11:00PM-11:05PM ET",updown,YES,0.7500,3.01,0.26,"BNB implied UP at 75%, edge +5.8%, 29s to close",won,4.01,2026-04-11T03:05:00+00:00,5m,0,0.0000,
2026-04-11T03:09:32.466624+00:00,sol-updown-5m-1775876700,"Solana Up or Down - April 10, 11:05PM-11:10PM ET",updown,NO,0.8050,3.87,0.27,"SOL implied DOWN at 20%, edge -6.6%, 36s to close",won,4.81,2026-04-11T03:10:00+00:00,5m,0,0.0000,
2026-04-11T03:09:32.467171+00:00,xrp-updown-5m-1775876700,"XRP Up or Down - April 10, 11:05PM-11:10PM ET",updown,YES,0.7050,3.23,0.21,"XRP implied UP at 70%, edge +5.1%, 32s to close",won,4.59,2026-04-11T03:10:00+00:00,5m,0,0.0000,
2026-04-11T03:19:30.709111+00:00,bnb-updown-5m-1775877300,"BNB Up or Down - April 10, 11:15PM-11:20PM ET",updown,YES,0.7250,3.95,0.22,"BNB implied UP at 72%, edge +5.4%, 38s to close",won,5.44,2026-04-11T03:20:00+00:00,5m,0,0.0000,
2026-04-11T03:24:28.574291+00:00,hype-updown-5m-1775877600,"Hyperliquid Up or Down - April 10, 11:20PM-11:25PM ET",updown,YES,0.8250,4.11,0.29,"HYPE implied UP at 82%, edge +6.9%, 31s to close",won,4.98,2026-04-11T03:25:00+00:00,5m,0,0.0000,
2026-04-11T03:34:36.389587+00:00,sol-updown-5m-1775878200,"Solana Up or Down - April 10, 11:30PM-11:35PM ET",updown,YES,0.8350,4.91,0.34,"SOL implied UP at 84%, edge +7.0%, 28s to close",lost,0.00,2026-04-11T03:35:00+00:00,5m,0,0.0000,
