timestamp,market_slug,question,strategy,side,entry_price,size,confidence,reason,status,payout,end_date,market_type,strategy_version,fees,fill_price,order_id,executor_type,edge_gross,edge_net,reference_symbol,reference_price,best_bid,best_ask,spread,decision_latency_ms,thesis_id,cancel_reason,strategy_mode
2026-04-15T03:29:33.080276+00:00,doge-updown-5m-1776223500,"Dogecoin Up or Down - April 14, 11:25PM-11:30PM ET",updown,YES,0.4132,1.00,0.9900,"DOGE ref +0.073%, implied 62% vs market 41%, net edge 18.2%, 27s to close",lost,0.00,2026-04-15T03:30:00+00:00,5m,11,0.0148,0.4132,sim-7d7e677d,SimulationExecutor,0.211447,0.181687,DOGE,0.093387,0.410000,0.410000,0.010000,0.017,crypto-ref:DOGE:5m:close,,live
2026-04-15T03:29:33.082471+00:00,sol-updown-5m-1776223500,"Solana Up or Down - April 14, 11:25PM-11:30PM ET",updown,YES,0.2081,1.00,0.9900,"SOL ref +0.012%, implied 52% vs market 20%, net edge 29.3%, 27s to close",lost,0.00,2026-04-15T03:30:00+00:00,5m,11,0.0074,0.2081,sim-cf126b34,SimulationExecutor,0.314965,0.292585,SOL,83.490000,0.205000,0.205000,0.010000,0.014,crypto-ref:SOL:5m:close,,live
2026-04-15T03:29:33.084388+00:00,bnb-updown-5m-1776223500,"BNB Up or Down - April 14, 11:25PM-11:30PM ET",updown,YES,0.3518,1.00,0.7763,"BNB ref -0.006%, implied 49% vs market 35%, net edge 11.2%, 27s to close",lost,0.00,2026-04-15T03:30:00+00:00,5m,11,0.0126,0.3518,sim-262d562d,SimulationExecutor,0.139185,0.111585,BNB,616.390000,0.350000,0.350000,0.010000,0.016,crypto-ref:BNB:5m:close,,live
